,UCP2,EPB41L3,PPA1,ENPP2,MMD,SLC31A2,ENPP4,EDIL3,TLR4,RBM42,KHSRP,NR2E1,GTF2F1,DOT1L,NCLN,LAMA5,CDK6,C19orf22,CHERP,GANAB,ARAP2,UPF1,DLC1,HSPBP1,DMWD,JUND,PLEKHA4,LRRC16A,KLHL25,CC2D1A,ZNF146,VPS16,FGFR3,TYK2,LRP5,SLC6A9,SLC6A11,MYST2,MLEC,SEZ6L,SLC12A4,SCG3,QTRT1,MYO9B,PRPF31,POMT2,MEOX2,PEPD,UNC45A,TCF3,CDH4,MCC,SIPA1L1,BLM,ACSS3,LMO2,EYA2,PTBP1,KLHL4,NPEPL1,CREB5,CAMK2B,SOX2,ARNTL,AP3D1,RGS12,ADAM19,RBCK1,POFUT1,VAV3,C19orf6,CD97,GRIK5,NOS2,MEGF8,ARAP3,CD151,IRS2,LHFP,RGS6,SEMA6A,SOCS2,ACSBG1,BTBD2,TSPAN3,GLG1,SLC4A4,SCAMP4,HDAC2,NRXN2,WASF1,DPYSL4,SCN3A,ZEB2,BCAS1,MAPT,FAM125B,CHD7,ERBB3,EPHB1,RUFY3,C6orf134,HN1,C1QL1,TTC3,GPR17,PODXL2,CSNK1E,SOX11,MLLT11,GNG4,FXYD6,MTSS1,OLIG2,KIF21B,DCX,RAP2A,MARCKS,DBN1,CLASP2,PFN2,STMN1,MAP2,SOX10,AMOTL2,ALCAM,LPPR1,SOX4,NCAM1,CRMP1,MARCKSL1
NC-GBM,1.9946,1.671,2.9199,2.3812,2.2949,1.8238,1.9068,1.3972,1.7264,1.8871,2.0421,1.835,1.9327,1.487,1.5695,1.301,1.5171,1.501,1.301,2.031,1.8356,1.6514,2.1208,1.9467,2.2861,1.8092,1.5668,1.301,2.0199,1.301,1.6654,2.004,1.304,1.6438,2.1737,1.79,1.8321,1.935,1.301,1.4027,1.7674,1.9336,2.739,1.5073,1.301,2.1226,1.5048,1.8241,2.2863,1.301,2.055,2.8017,2.2225,1.7954,1.3931,2.2136,2.2869,2.6195,1.6388,1.301,1.8376,1.4051,1.6416,2.3434,1.428,1.301,1.5796,2.1833,1.6296,1.9455,2.4114,1.301,1.301,1.9858,1.3875,1.7185,1.6114,1.7671,1.8356,2.1636,1.6563,1.301,2.4366,1.301,2.0354,2.0428,1.8563,1.7798,1.8981,3.3538,1.6545,2.0843,1.4896,1.6474,1.9836,2.0164,1.8643,1.9729,2.0459,1.8948,2.838,1.6143,1.301,2.8406,1.5189,1.5581,1.736,1.6585,1.4595,1.301,2.7406,1.5652,1.302,1.671,1.4212,1.301,2.2433,2.7311,3.0055,1.301,1.5261,1.3271,1.7226,1.301,1.9115,1.301,1.884,2.3739,1.8777,1.301,2.0052
NC-GBM,2.1613,1.301,2.6138,3.0706,1.9734,1.9079,1.5848,1.622,1.9438,1.8747,2.2882,1.6869,1.8286,1.8012,2.0312,1.301,1.301,1.7973,1.301,1.9341,1.3186,1.7287,2.1169,2.2089,1.301,1.4145,1.3303,1.4423,1.5371,1.5312,1.7609,1.301,1.3807,1.5087,1.301,1.8967,1.9387,2.1768,1.301,1.7098,1.6681,1.6314,2.3702,1.6208,1.3929,1.941,1.9728,1.7933,1.9802,1.301,1.8271,2.5225,2.1575,1.9382,1.7127,2.2386,2.1162,2.4459,1.6184,1.301,1.8067,1.301,1.8286,2.1108,1.301,1.301,1.301,2.4204,1.3233,1.7165,2.4141,1.301,1.995,2.0362,1.301,1.9995,1.301,1.465,1.301,2.1853,1.301,1.4817,2.385,1.301,1.7343,2.163,1.9802,1.4314,1.4068,3.3017,1.6638,2.0213,1.8067,1.6529,1.8212,1.9567,1.8626,1.694,1.4441,1.7531,2.7403,1.3162,1.301,2.7073,1.88,1.6869,1.5963,1.4633,1.7893,1.4834,2.9655,1.301,1.5283,1.5822,1.3065,1.3326,2.0213,2.8224,3.0325,1.301,1.301,1.301,1.6659,1.301,1.8619,1.4029,2.264,2.298,1.8495,1.4751,2.0399
NC-GBM,2.0147,2.5074,2.7866,2.2717,2.2185,1.5059,1.4449,1.301,1.8981,1.9981,2.0567,1.301,1.7368,1.7567,2.0139,1.301,1.673,1.9382,1.301,1.7766,1.8057,1.4605,2.2294,2.2924,1.301,1.7379,1.584,1.301,1.8048,1.301,1.7338,1.8446,1.301,1.5051,1.3397,1.4172,1.867,2.003,1.301,1.5237,1.7784,1.9163,2.3371,1.6375,1.301,2.3273,1.7003,1.684,1.952,1.301,2.0462,2.5218,2.288,1.5947,1.4605,2.5898,2.2328,2.5559,1.5854,1.301,1.9663,1.3702,1.6343,2.4066,1.301,1.301,1.301,2.1402,1.5447,1.7816,2.3612,2.5457,1.6298,2.2799,1.7789,1.6432,1.635,1.7816,1.301,2.3409,1.7203,1.301,2.3801,1.301,1.6538,2.0315,1.9582,1.7286,1.6992,3.2998,1.692,2.0736,1.4883,1.301,2.0242,2.2492,2.1311,2.1685,1.9006,1.9126,2.9414,1.8346,1.301,2.8069,1.8272,1.7255,1.301,1.301,1.414,1.6324,2.6306,1.7803,1.3807,1.8317,1.4955,1.4419,2.1172,2.706,3.0138,1.301,1.7576,1.8074,1.7658,2.141,1.6388,1.301,1.8879,2.5464,2.4245,1.5471,1.8922
NC-GBM,1.8782,2.1,2.7405,2.4413,2.249,1.8378,1.7512,1.301,1.9045,1.9154,2.0989,2.1923,2.215,1.8516,2.1676,1.9076,1.3643,2.4965,1.301,1.5113,1.301,1.3457,2.1943,2.1586,1.4974,1.7796,1.301,1.301,1.741,1.669,1.7812,1.3981,1.301,1.4536,1.301,1.4001,1.7796,1.9287,1.6637,1.5602,1.7787,2.1454,2.0915,1.9866,1.301,2.1545,1.301,1.7151,2.3247,1.301,1.9585,2.6899,2.2787,1.8775,1.4757,2.7084,2.2727,2.7023,1.7142,1.301,1.9601,1.3567,1.4386,2.4102,1.301,1.301,1.301,2.1931,1.7771,1.9687,2.4565,1.3567,1.8526,2.0955,1.9169,1.444,1.301,1.8035,1.301,2.2364,1.5768,1.5814,2.6152,1.301,1.3891,2.0853,1.3086,1.745,1.8769,3.2988,1.4846,2.1671,1.6174,1.736,2.1524,2.0929,2.0393,2.3773,2.0602,1.898,2.9576,1.6572,1.9127,2.8372,1.815,1.632,1.6144,1.301,1.5622,1.6053,3.2694,1.8085,1.301,1.8673,1.5788,1.301,2.1889,2.6959,3.061,1.5321,1.6632,1.821,1.7217,2.1862,2.0502,1.301,1.8798,2.4972,2.4345,2.7549,1.8729
NC-GBM,2.0341,1.301,2.7356,2.0326,2.4892,1.8862,1.9669,1.301,1.7855,2.0457,1.7145,1.5366,1.6901,1.5081,1.5867,1.301,1.8152,1.301,1.301,1.9751,2.0756,1.6396,2.2644,2.3134,1.7705,1.8257,1.5472,1.6713,1.7189,1.5215,1.5997,1.8544,1.3196,1.3475,2.2266,1.301,1.8257,1.9326,1.301,1.301,1.5849,2.1062,2.9777,1.8052,1.4905,2.0826,1.6157,1.5492,2.2071,1.301,2.1764,2.9369,2.3086,1.7109,1.4365,2.0987,2.3996,2.7143,1.7953,1.301,1.9874,1.5511,1.301,2.4523,1.444,1.301,1.301,2.1596,1.5764,1.781,2.356,1.301,1.6066,2.1272,1.6639,1.7009,1.5081,1.8433,1.3805,2.3909,1.5677,1.3015,2.6735,1.301,1.6644,2.1358,1.7993,1.7264,2.006,3.3893,1.6289,2.2259,1.6439,1.5861,2.067,2.0943,2.0479,1.9696,2.0215,2.0584,2.8549,1.3984,1.301,3.0065,1.9444,1.6316,1.8012,1.301,1.324,1.301,2.7005,1.8768,1.4121,1.9343,1.5683,1.301,2.1537,2.743,2.9024,1.301,1.8678,1.4305,1.7779,1.301,1.8746,1.3757,1.9459,2.5391,1.6511,1.301,1.989
NC-GBM,2.0244,1.4943,2.8395,2.0642,2.5509,1.9319,1.9845,1.301,1.6816,2.1093,1.7285,1.6048,1.6725,1.7089,1.806,1.301,1.6588,1.7995,1.3611,1.6422,1.301,1.804,2.112,2.4369,2.0155,1.8114,1.386,1.6491,1.301,1.4829,1.6683,1.8822,1.3639,1.4287,2.2545,1.3387,2.0044,1.9674,1.301,1.5888,1.6481,2.1998,2.6676,2.1243,1.301,2.1389,1.7051,1.7977,2.3812,1.301,2.2341,2.8574,2.457,1.8685,1.3436,2.4385,2.3936,2.626,1.6924,1.301,1.9555,1.5944,1.301,2.6614,1.5227,1.3495,1.3788,2.2161,1.8519,2.1226,2.5504,1.301,1.3285,2.0263,1.5871,1.5273,1.4463,1.6229,1.301,2.0318,1.5994,1.301,2.7715,1.301,1.8009,2.1885,1.9956,1.6442,2.0676,3.3339,1.6715,2.2206,1.5201,1.8538,2.1878,2.1131,2.135,2.2513,2.3632,2.0026,2.9634,1.737,1.301,2.8074,1.5894,1.301,2.0946,1.6037,1.4368,1.5786,2.6187,1.8194,1.8583,1.9562,1.4384,1.3554,2.3318,2.78,2.9548,1.301,1.6757,1.8646,1.946,1.4691,1.976,1.3486,1.795,2.4732,2.0011,2.3632,2.023
NC-GBM,2.105,1.9621,2.6171,2.0959,2.4308,1.8142,1.7883,1.5559,1.7416,1.9912,1.8867,1.6869,1.6707,2.1097,1.4879,1.301,1.5453,2.1091,1.301,1.8785,1.8171,1.5388,1.9186,2.3011,2.3626,1.82,1.5575,1.3068,2.3401,1.5361,2.372,1.7487,1.301,1.5517,1.3989,1.3133,1.9181,1.9871,1.301,1.8714,1.9016,2.0865,2.2596,1.9327,1.301,2.2533,1.597,1.6845,2.4858,1.301,1.7202,2.6903,2.2395,1.8069,1.4364,2.5938,2.175,2.4658,1.8656,1.301,1.9375,1.4619,1.4108,2.4904,1.5024,1.301,1.6153,2.1531,1.7315,2.0248,2.5776,1.3578,1.6065,2.4056,1.4378,1.7685,1.301,1.7308,1.5601,2.29,1.6402,1.5261,2.5705,1.301,2.0519,2.0366,1.9377,1.8455,1.9021,3.2464,1.761,2.1544,1.5627,1.6908,2.0404,2.2432,2.0156,2.3067,2.0517,2.0352,3.0438,1.8022,1.301,2.8203,1.3913,1.5538,1.301,1.8387,2.163,1.8942,3.0688,1.5294,1.4854,1.8075,1.5024,1.8852,1.9033,2.6782,3.0053,1.301,1.5538,1.9222,1.7133,1.301,1.7059,1.301,1.8612,2.4263,2.1527,1.7074,2.0276
NC-GBM,2.0316,2.3884,2.6429,2.7344,1.7799,1.862,1.9216,1.4606,1.692,1.8127,1.9643,1.7521,1.954,1.5614,1.301,1.301,1.3117,2.1857,1.301,2.3845,1.537,1.7332,2.0425,1.9289,1.301,1.7272,1.301,1.301,1.8354,1.7628,1.7079,1.8689,1.3814,1.9254,1.301,2.0296,1.9982,2.1301,1.4061,1.7252,1.486,1.301,2.0438,1.301,1.4741,1.9003,1.301,1.7553,2.0169,1.301,1.301,2.2847,2.0007,1.8083,1.6854,2.5591,2.1028,2.4642,1.301,1.301,1.5484,1.301,1.4401,1.9627,1.3255,1.301,1.301,2.3677,1.4466,1.624,2.3558,1.4295,1.8693,2.0117,1.301,1.7007,1.8259,1.4825,1.301,2.2414,1.5504,1.8253,2.3861,1.301,1.7135,2.0755,1.9797,1.301,1.6257,3.2553,1.7079,2.0898,1.6109,1.301,1.7572,1.9544,1.852,1.6522,1.5134,1.5463,2.6743,1.301,1.301,2.585,1.5703,1.301,1.3873,1.301,1.7029,1.3373,2.7188,1.6083,1.6029,1.4884,1.4953,1.7628,1.7444,2.812,3.1987,1.301,1.301,1.5044,1.4349,1.301,1.8794,1.301,1.958,2.3853,1.8499,2.0857,1.592
NC-GBM,1.9373,1.8262,2.6976,2.7871,1.9367,1.8647,1.6941,1.3664,1.7507,1.9529,2.0903,1.8183,1.9855,1.3602,1.4774,1.301,1.4091,1.6519,1.301,1.6998,1.5682,1.8269,2.0212,2.1546,1.301,1.7885,1.301,1.301,2.0203,1.7174,1.8339,1.711,1.4742,1.9273,1.301,1.9334,1.9351,2.0367,1.301,1.5137,1.6015,1.5223,2.5438,1.7736,1.301,2.0625,1.301,1.8169,2.2687,1.301,1.5093,2.5633,2.2378,1.9502,1.6335,2.3834,2.0257,2.3914,1.4547,1.301,1.6313,1.301,1.8996,2.2547,1.6189,1.301,1.301,2.2118,1.5695,1.8037,2.4358,1.301,2.0798,1.8014,1.7473,1.899,1.301,1.7784,1.301,1.8844,1.605,1.7607,2.3824,1.301,1.73,2.0419,1.6368,1.7931,1.6476,3.4165,1.7174,1.9061,1.8887,1.301,1.7954,2.1609,1.9845,2.1154,1.8731,1.4805,2.7272,1.7744,1.301,2.3791,1.6121,1.301,1.4016,1.301,1.6815,1.42,2.7666,1.655,1.5049,1.6613,1.301,1.6825,1.934,2.6811,3.086,1.301,1.5472,1.7008,1.6815,1.301,1.8205,1.301,2.1106,2.0754,1.982,2.3826,1.7165
NC-GBM,1.809,1.5647,2.8567,2.8561,1.8966,1.9391,1.8035,1.4634,2.0239,1.901,2.1515,1.822,1.8673,1.412,1.301,1.7464,1.6618,2.1863,1.301,1.4521,1.301,1.4841,1.8914,1.9521,1.4684,1.6095,1.6327,1.301,1.6713,1.5789,3.3874,1.5796,1.3639,1.7749,1.301,2.2435,2.0337,2.1715,1.4142,1.826,1.5896,1.7583,1.8868,1.3471,1.301,1.5742,1.317,1.7956,2.1224,1.301,1.5341,2.4149,2.184,2.0842,1.7846,2.6129,2.2342,2.5123,2.0902,1.301,1.6805,1.301,1.5607,2.2769,1.3085,1.301,1.301,2.322,1.4276,1.6508,2.5507,1.4062,1.4624,1.6167,1.301,1.8325,1.7837,1.6914,1.301,2.3721,1.5323,1.5804,2.5176,1.301,1.4363,2.0835,1.8368,1.8368,1.717,3.1879,2.0825,1.9448,1.7856,1.5566,1.7259,2.1322,2.1077,2.1157,1.6694,1.8966,2.9537,1.301,1.301,2.9495,1.709,1.301,1.301,1.301,1.6762,1.7764,2.9077,1.4879,1.301,1.6762,1.6618,2.7249,1.8962,2.8356,3.1474,1.301,1.301,1.5978,1.4714,1.4142,2.018,1.301,1.9337,2.2908,1.7181,2.2268,1.6388
NC-GBM,1.9011,2.5079,2.4186,2.5925,2.027,1.8593,1.7516,1.3922,1.7151,1.6895,2.1381,1.8088,1.8662,1.301,1.301,1.301,1.301,1.9131,1.301,1.7508,1.4415,1.9153,1.8201,1.8509,2.0205,1.5836,1.3613,1.301,3.0131,1.646,1.6933,2.0498,1.4432,1.6563,1.301,1.3732,1.818,1.9728,1.301,1.6838,1.6563,1.5639,1.9781,1.3732,1.301,1.9654,1.707,1.5954,2.1713,1.301,1.5005,2.5911,2.0103,1.6408,1.3613,2.6266,2.3122,2.6918,1.4348,1.301,1.5162,1.301,1.9225,1.9285,1.301,1.301,1.3193,2.2408,1.3512,1.5162,2.4981,1.6923,1.5063,1.8656,1.4398,1.4843,1.5966,1.512,1.4888,2.16,1.301,1.7061,2.2015,1.301,1.345,2.0456,1.9455,1.4578,1.7524,3.3503,1.7644,1.7905,1.4736,1.301,1.7115,2.0205,1.8964,1.7905,1.5499,1.4674,2.808,1.3633,1.301,2.5137,1.4158,1.4594,1.4314,1.3237,1.4797,1.301,2.7663,1.6752,1.4331,1.5739,1.519,1.3828,1.6024,2.8106,3.2453,1.301,1.301,1.301,1.4594,1.301,1.8045,1.301,2.0571,2.3458,1.9584,1.7425,1.6923
NC-GBM,1.99,2.2936,2.8273,2.2419,2.2823,1.8385,1.8049,1.3918,1.982,2.1485,2.0431,2.018,2.0647,2.1248,2.3603,1.301,1.5638,2.4052,1.301,1.8166,1.301,1.301,2.1445,2.2518,1.301,1.5731,1.4918,1.301,1.8042,1.508,2.04,1.6686,1.353,1.6425,1.301,1.4144,2.1036,2.0572,1.7978,1.8032,1.8135,1.9338,2.165,1.5933,1.3036,2.2078,1.9569,1.7642,2.228,1.301,1.6774,2.4323,2.3331,1.7845,1.5336,2.711,2.3363,2.5623,1.8823,1.301,1.9194,1.4837,2.0391,2.4398,1.301,1.301,1.5984,2.1901,1.6289,1.8173,2.4207,1.301,1.4084,2.1874,1.5151,1.71,1.302,1.5544,1.301,2.3258,1.5127,1.301,2.4327,1.3692,1.5976,1.9627,1.9566,1.4703,1.7807,3.2643,1.8716,2.2379,1.5263,1.9213,2.0442,2.2575,2.1267,2.1662,1.9932,2.0106,2.9247,1.8939,1.301,2.7992,1.836,1.7378,1.539,1.6807,1.5681,1.9873,2.6393,1.5175,1.3224,1.6336,1.5108,1.7353,2.0502,2.8261,3.0644,1.301,1.3433,1.9436,1.7943,1.8666,1.8104,1.301,1.8522,2.526,2.4562,2.6063,1.9941
